BeginSample
	_SampleName, "Sample4.mss"
	_MethodName, "Multicycle Compression to Displacement Points.msm"
	PercentSetLoad, 0.000,  "N"
	BreakDrop, 50.0,  "%"
	BreakElongation, 2.540,  "mm"
	BreakSensitivity, 90,  "%"
	BreakThreshold, 2.224,  "N"
	CycleSavingFrequency, 1,  ""
	DataAcqRate, 10.0,  "Hz"
	EndPointBreakingAmount, 0.000,  "mm"
	Extension1, 0.000,  "mm"
	Extension2, 38.100,  "mm"
	Extension3, 44.450,  "mm"
	ExtLimitHigh, 508,  "mm"
	ExtLimitLow, -0.25,  "mm"
	GageLength, 25.557,  "mm"
	Header1, "",  ""
	Header2, "",  ""
	Header3, "",  ""
	HoldTime1, 60.000,  "s"
	HoldTime2, 0.000,  "s"
	LoadLimitHigh, 10009,  "N"
	LoadLimitLow, -4448,  "N"
	_MaxSpecimens, 999,  ""
	ModulusExt1, 30.480,  "mm"
	ModulusExt2, 45.720,  "mm"
	NumCycles, 1,  ""
	PerformPreLoad, "1 Yes",  ""
	PreLoad, 10.000,  "N"
	PreLoadSpeed, 5.000,  "mm/min"
	SampleInfo1, "",  ""
	SampleInfo2, "",  ""
	SampleInfo3, "",  ""
	SampleInfo4, "",  ""
	SampleInfo5, "",  ""
	SampleInfo6, "",  ""
	SampleInfo7, "",  ""
	SampleInfo8, "",  ""
	SampleInfo9, "",  ""
	SampleInfo10, "",  ""
	SampleID, "DensityGroup1TestSpeed1",  ""
	SaveFirstCycle, "1 Yes",  ""
	SaveLastCycle, "1 Yes",  ""
	SlackPreLoad, 4.448,  "N"
	SlopeSegLength, 20.000,  "%"
	StrainLimitHigh, 10,  "mm/mm"
	StrainLimitLow, -10,  "mm/mm"
	StressLimitHigh, 207,  "MPa"
	StressLimitLow, -207,  "MPa"
	TimeLimit, 10000,  "s"
	ZeroExtAfterPreLoad, "1 Yes",  ""
	BeginSpecimen
		Endpoint1, 0.205,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 0.8,  "mm/min"
		Thickness, 12.70,  "mm"
		Width, 12.25,  "mm"
		AdjGage, 21.155,  "mm"
		Area, 155.5750,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "5 of 5 Cycle(s)",  ""
		GageAdjustment, 0.615,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 45.516,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.615,  "mm"
		SlackVal, 0.615,  "mm"
		TestStatus, "5 of 5 Cycle(s)",  ""
		BeginData
			1, 0.208, 44.250, 50.400, 0.284, 0.010
			1, 0.208, 44.230, 50.800, 0.284, 0.010
			1, 0.208, 44.249, 51.200, 0.284, 0.010
			1, 0.208, 44.233, 51.600, 0.284, 0.010
			1, 0.208, 44.233, 52.000, 0.284, 0.010
			1, 0.208, 44.227, 52.400, 0.284, 0.010
			1, 0.208, 44.198, 52.800, 0.284, 0.010
			1, 0.208, 44.187, 53.200, 0.284, 0.010
			1, 0.208, 44.179, 53.600, 0.284, 0.010
			1, 0.208, 44.196, 54.000, 0.284, 0.010
			1, 0.208, 44.188, 54.400, 0.284, 0.010
			1, 0.208, 44.174, 54.800, 0.284, 0.010
			1, 0.208, 44.158, 55.200, 0.284, 0.010
			1, 0.208, 44.142, 55.600, 0.284, 0.010
			1, 0.208, 44.160, 56.000, 0.284, 0.010
			1, 0.208, 44.131, 56.400, 0.284, 0.010
			1, 0.208, 44.128, 56.800, 0.284, 0.010
			1, 0.208, 44.131, 57.200, 0.284, 0.010
			1, 0.208, 44.118, 57.600, 0.284, 0.010
			1, 0.208, 44.092, 58.000, 0.283, 0.010
			1, 0.208, 44.069, 58.400, 0.283, 0.010
			1, 0.208, 44.067, 58.800, 0.283, 0.010
			1, 0.208, 44.063, 59.200, 0.283, 0.010
			1, 0.208, 44.031, 59.600, 0.283, 0.010
			1, 0.208, 44.035, 60.000, 0.283, 0.010
			1, 0.208, 44.042, 60.400, 0.283, 0.010
			1, 0.208, 44.020, 60.800, 0.283, 0.010
			1, 0.208, 44.032, 61.200, 0.283, 0.010
			1, 0.208, 44.022, 61.600, 0.283, 0.010
			1, 0.208, 43.994, 62.000, 0.283, 0.010
			1, 0.208, 43.988, 62.400, 0.283, 0.010
			1, 0.208, 43.972, 62.800, 0.283, 0.010
			1, 0.208, 44.001, 63.200, 0.283, 0.010
			1, 0.208, 43.955, 63.230, 0.283, 0.010
			1, 0.208, 44.000, 63.400, 0.283, 0.010
			1, 0.208, 44.023, 63.500, 0.283, 0.010
			1, 0.208, 44.005, 63.600, 0.283, 0.010
			1, 0.208, 44.010, 63.700, 0.283, 0.010
			1, 0.207, 43.923, 63.800, 0.282, 0.010
			1, 0.204, 43.443, 63.900, 0.279, 0.010
			1, 0.197, 41.291, 64.000, 0.265, 0.009
			1, 0.190, 39.195, 64.100, 0.252, 0.009
			1, 0.183, 37.147, 64.200, 0.239, 0.009
			1, 0.176, 35.300, 64.300, 0.227, 0.008
			1, 0.169, 33.517, 64.400, 0.215, 0.008
			1, 0.162, 31.663, 64.500, 0.204, 0.008
			1, 0.156, 29.964, 64.600, 0.193, 0.007
			1, 0.149, 28.054, 64.700, 0.180, 0.007
			1, 0.142, 26.473, 64.800, 0.170, 0.007
			1, 0.135, 24.842, 64.900, 0.160, 0.007
			1, 0.129, 23.226, 65.000, 0.149, 0.006
			1, 0.122, 21.677, 65.100, 0.139, 0.006
			1, 0.114, 20.039, 65.200, 0.129, 0.005
			1, 0.108, 18.642, 65.300, 0.120, 0.005
			1, 0.101, 17.229, 65.400, 0.111, 0.005
			1, 0.094, 15.694, 65.500, 0.101, 0.005
			1, 0.088, 14.472, 65.600, 0.093, 0.004
			1, 0.081, 13.176, 65.700, 0.085, 0.004
			1, 0.074, 11.908, 65.800, 0.077, 0.004
			1, 0.068, 10.786, 65.900, 0.069, 0.003
			1, 0.060, 9.522, 66.000, 0.061, 0.003
			1, 0.054, 8.568, 66.100, 0.055, 0.003
			1, 0.048, 7.641, 66.200, 0.049, 0.002
			1, 0.040, 6.641, 66.300, 0.043, 0.002
			1, 0.034, 5.772, 66.400, 0.037, 0.002
			1, 0.027, 4.874, 66.500, 0.031, 0.001
			1, 0.020, 4.128, 66.600, 0.027, 0.001
			1, 0.014, 3.418, 66.700, 0.022, 0.001
			1, 0.006, 2.615, 66.800, 0.017, 0.000
			1, -0.000, 2.069, 66.900, 0.013, -0.000
			1, -0.000, 2.069, 66.900, 0.013, -0.000
			1, -0.002, 1.969, 66.940, 0.013, -0.000
		EndData
	EndSpecimen
	BeginSpecimen
		Endpoint1, 0.124,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 2.5,  "mm/min"
		Thickness, 12.23,  "mm"
		Width, 11.91,  "mm"
		AdjGage, 12.750,  "mm"
		Area, 145.6593,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "1 of 1 Cycle(s)",  ""
		GageAdjustment, 0.323,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 48.797,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.323,  "mm"
		SlackVal, 0.323,  "mm"
		TestStatus, "1 of 1 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.005, 11.710, 0.140, 0.080, 0.000
			1, 0.009, 12.268, 0.300, 0.084, 0.001
			1, 0.012, 13.318, 0.400, 0.091, 0.001
			1, 0.017, 14.617, 0.500, 0.100, 0.001
			1, 0.021, 15.777, 0.600, 0.108, 0.002
			1, 0.025, 16.797, 0.700, 0.115, 0.002
			1, 0.029, 17.906, 0.800, 0.123, 0.002
			1, 0.033, 19.193, 0.900, 0.132, 0.003
			1, 0.037, 20.635, 1.000, 0.142, 0.003
			1, 0.041, 21.635, 1.100, 0.149, 0.003
			1, 0.045, 22.825, 1.200, 0.157, 0.004
			1, 0.049, 24.043, 1.300, 0.165, 0.004
			1, 0.054, 25.597, 1.400, 0.176, 0.004
			1, 0.057, 26.758, 1.500, 0.184, 0.004
			1, 0.061, 27.944, 1.600, 0.192, 0.005
			1, 0.065, 29.204, 1.700, 0.200, 0.005
			1, 0.070, 30.804, 1.800, 0.211, 0.006
			1, 0.074, 32.160, 1.900, 0.221, 0.006
			1, 0.078, 33.312, 2.000, 0.229, 0.006
			1, 0.082, 34.578, 2.100, 0.237, 0.006
			1, 0.087, 36.103, 2.200, 0.248, 0.007
			1, 0.091, 37.766, 2.300, 0.259, 0.007
			1, 0.095, 38.849, 2.400, 0.267, 0.007
			1, 0.099, 40.166, 2.500, 0.276, 0.008
			1, 0.103, 41.525, 2.600, 0.285, 0.008
			1, 0.108, 43.339, 2.700, 0.298, 0.008
			1, 0.111, 44.407, 2.800, 0.305, 0.009
			1, 0.115, 45.667, 2.900, 0.314, 0.009
			1, 0.119, 46.996, 3.000, 0.323, 0.009
			1, 0.124, 48.697, 3.100, 0.334, 0.010
			1, 0.126, 48.797, 3.500, 0.335, 0.010
			1, 0.126, 48.417, 3.900, 0.332, 0.010
			1, 0.126, 48.183, 4.300, 0.331, 0.010
			1, 0.126, 47.998, 4.700, 0.330, 0.010
			1, 0.126, 47.841, 5.100, 0.328, 0.010
			1, 0.126, 47.733, 5.500, 0.328, 0.010
			1, 0.126, 47.594, 5.900, 0.327, 0.010
			1, 0.126, 47.503, 6.300, 0.326, 0.010
			1, 0.126, 47.420, 6.700, 0.326, 0.010
			1, 0.126, 47.351, 7.100, 0.325, 0.010
			1, 0.126, 47.228, 7.500, 0.324, 0.010
			1, 0.126, 47.174, 7.900, 0.324, 0.010
			1, 0.126, 47.132, 8.300, 0.324, 0.010
			1, 0.126, 47.066, 8.700, 0.323, 0.010
			1, 0.126, 47.020, 9.100, 0.323, 0.010
			1, 0.126, 46.959, 9.500, 0.322, 0.010
			1, 0.126, 46.875, 9.900, 0.322, 0.010
			1, 0.126, 46.881, 10.300, 0.322, 0.010
			1, 0.126, 46.829, 10.700, 0.321, 0.010
			1, 0.127, 46.777, 11.100, 0.321, 0.010
			1, 0.127, 46.748, 11.500, 0.321, 0.010
			1, 0.127, 46.687, 11.900, 0.321, 0.010
			1, 0.127, 46.680, 12.300, 0.320, 0.010
			1, 0.127, 46.635, 12.700, 0.320, 0.010
			1, 0.127, 46.592, 13.100, 0.320, 0.010
			1, 0.127, 46.563, 13.500, 0.320, 0.010
			1, 0.127, 46.511, 13.900, 0.319, 0.010
			1, 0.127, 46.465, 14.300, 0.319, 0.010
			1, 0.127, 46.475, 14.700, 0.319, 0.010
			1, 0.127, 46.420, 15.100, 0.319, 0.010
			1, 0.127, 46.480, 15.500, 0.319, 0.010
			1, 0.127, 46.376, 15.900, 0.318, 0.010
			1, 0.127, 46.359, 16.300, 0.318, 0.010
			1, 0.127, 46.339, 16.700, 0.318, 0.010
			1, 0.127, 46.301, 17.100, 0.318, 0.010
			1, 0.127, 46.327, 17.500, 0.318, 0.010
			1, 0.127, 46.294, 17.900, 0.318, 0.010
			1, 0.127, 46.253, 18.300, 0.318, 0.010
			1, 0.127, 46.251, 18.700, 0.318, 0.010
			1, 0.127, 46.223, 19.100, 0.317, 0.010
			1, 0.127, 46.215, 19.500, 0.317, 0.010
			1, 0.127, 46.145, 19.900, 0.317, 0.010
			1, 0.127, 46.154, 20.300, 0.317, 0.010
			1, 0.127, 46.122, 20.700, 0.317, 0.010
			1, 0.127, 46.126, 21.100, 0.317, 0.010
			1, 0.127, 46.060, 21.500, 0.316, 0.010
			1, 0.127, 46.059, 21.900, 0.316, 0.010
			1, 0.127, 46.055, 22.300, 0.316, 0.010
			1, 0.127, 46.039, 22.700, 0.316, 0.010
			1, 0.127, 45.996, 23.100, 0.316, 0.010
			1, 0.127, 46.004, 23.500, 0.316, 0.010
			1, 0.127, 45.971, 23.900, 0.316, 0.010
			1, 0.127, 45.953, 24.300, 0.315, 0.010
			1, 0.127, 45.898, 24.700, 0.315, 0.010
			1, 0.127, 45.918, 25.100, 0.315, 0.010
			1, 0.127, 45.944, 25.500, 0.315, 0.010
			1, 0.127, 45.915, 25.900, 0.315, 0.010
			1, 0.127, 45.894, 26.300, 0.315, 0.010
			1, 0.127, 45.867, 26.700, 0.315, 0.010
			1, 0.127, 45.829, 27.100, 0.315, 0.010
			1, 0.127, 45.862, 27.500, 0.315, 0.010
			1, 0.127, 45.860, 27.900, 0.315, 0.010
			1, 0.127, 45.797, 28.300, 0.314, 0.010
			1, 0.127, 45.789, 28.700, 0.314, 0.010
			1, 0.127, 45.793, 29.100, 0.314, 0.010
			1, 0.127, 45.779, 29.500, 0.314, 0.010
			1, 0.127, 45.769, 29.900, 0.314, 0.010
			1, 0.127, 45.735, 30.300, 0.314, 0.010
			1, 0.127, 45.742, 30.700, 0.314, 0.010
			1, 0.127, 45.735, 31.100, 0.314, 0.010
			1, 0.127, 45.698, 31.500, 0.314, 0.010
			1, 0.127, 45.714, 31.900, 0.314, 0.010
			1, 0.127, 45.677, 32.300, 0.314, 0.010
			1, 0.127, 45.689, 32.700, 0.314, 0.010
			1, 0.127, 45.624, 33.100, 0.313, 0.010
			1, 0.127, 45.680, 33.500, 0.314, 0.010
			1, 0.127, 45.667, 33.900, 0.314, 0.010
			1, 0.127, 45.639, 34.300, 0.313, 0.010
			1, 0.127, 45.606, 34.700, 0.313, 0.010
			1, 0.127, 45.606, 35.100, 0.313, 0.010
			1, 0.127, 45.612, 35.500, 0.313, 0.010
			1, 0.127, 45.588, 35.900, 0.313, 0.010
			1, 0.127, 45.609, 36.300, 0.313, 0.010
			1, 0.127, 45.567, 36.700, 0.313, 0.010
			1, 0.127, 45.551, 37.100, 0.313, 0.010
			1, 0.127, 45.524, 37.500, 0.313, 0.010
			1, 0.127, 45.540, 37.900, 0.313, 0.010
			1, 0.127, 45.508, 38.300, 0.312, 0.010
			1, 0.127, 45.534, 38.700, 0.313, 0.010
			1, 0.127, 45.511, 39.100, 0.312, 0.010
			1, 0.127, 45.491, 39.500, 0.312, 0.010
			1, 0.127, 45.487, 39.900, 0.312, 0.010
			1, 0.127, 45.452, 40.300, 0.312, 0.010
			1, 0.127, 45.457, 40.700, 0.312, 0.010
			1, 0.127, 45.470, 41.100, 0.312, 0.010
			1, 0.127, 45.439, 41.500, 0.312, 0.010
			1, 0.127, 45.434, 41.900, 0.312, 0.010
			1, 0.127, 45.418, 42.300, 0.312, 0.010
			1, 0.127, 45.412, 42.700, 0.312, 0.010
			1, 0.127, 45.413, 43.100, 0.312, 0.010
			1, 0.127, 45.413, 43.500, 0.312, 0.010
			1, 0.127, 45.382, 43.900, 0.312, 0.010
			1, 0.127, 45.373, 44.300, 0.312, 0.010
			1, 0.127, 45.372, 44.700, 0.311, 0.010
			1, 0.127, 45.356, 45.100, 0.311, 0.010
			1, 0.127, 45.390, 45.500, 0.312, 0.010
			1, 0.127, 45.365, 45.900, 0.311, 0.010
			1, 0.127, 45.369, 46.300, 0.311, 0.010
			1, 0.127, 45.385, 46.700, 0.312, 0.010
			1, 0.127, 45.331, 47.100, 0.311, 0.010
			1, 0.127, 45.310, 47.500, 0.311, 0.010
			1, 0.127, 45.325, 47.900, 0.311, 0.010
			1, 0.127, 45.302, 48.300, 0.311, 0.010
			1, 0.127, 45.303, 48.700, 0.311, 0.010
			1, 0.127, 45.292, 49.100, 0.311, 0.010
			1, 0.127, 45.286, 49.500, 0.311, 0.010
			1, 0.127, 45.274, 49.900, 0.311, 0.010
			1, 0.127, 45.267, 50.300, 0.311, 0.010
			1, 0.127, 45.260, 50.700, 0.311, 0.010
			1, 0.127, 45.251, 51.100, 0.311, 0.010
			1, 0.127, 45.241, 51.500, 0.311, 0.010
			1, 0.127, 45.270, 51.900, 0.311, 0.010
			1, 0.127, 45.245, 52.300, 0.311, 0.010
			1, 0.127, 45.213, 52.700, 0.310, 0.010
			1, 0.127, 45.227, 53.100, 0.310, 0.010
			1, 0.127, 45.209, 53.500, 0.310, 0.010
			1, 0.127, 45.207, 53.900, 0.310, 0.010
			1, 0.127, 45.201, 54.300, 0.310, 0.010
			1, 0.127, 45.197, 54.700, 0.310, 0.010
			1, 0.127, 45.192, 55.100, 0.310, 0.010
			1, 0.127, 45.208, 55.500, 0.310, 0.010
			1, 0.127, 45.192, 55.900, 0.310, 0.010
			1, 0.127, 45.152, 56.300, 0.310, 0.010
			1, 0.127, 45.183, 56.700, 0.310, 0.010
			1, 0.127, 45.164, 57.100, 0.310, 0.010
			1, 0.127, 45.120, 57.500, 0.310, 0.010
			1, 0.127, 45.177, 57.900, 0.310, 0.010
			1, 0.127, 45.131, 58.300, 0.310, 0.010
			1, 0.127, 45.121, 58.700, 0.310, 0.010
			1, 0.127, 45.120, 59.100, 0.310, 0.010
			1, 0.127, 45.100, 59.500, 0.310, 0.010
			1, 0.127, 45.141, 59.900, 0.310, 0.010
			1, 0.127, 45.133, 60.300, 0.310, 0.010
			1, 0.127, 45.103, 60.700, 0.310, 0.010
			1, 0.127, 45.118, 61.100, 0.310, 0.010
			1, 0.127, 45.115, 61.500, 0.310, 0.010
			1, 0.127, 45.118, 61.900, 0.310, 0.010
			1, 0.127, 45.075, 62.300, 0.309, 0.010
			1, 0.127, 45.071, 62.700, 0.309, 0.010
			1, 0.127, 45.074, 63.100, 0.309, 0.010
			1, 0.127, 45.090, 63.130, 0.310, 0.010
			1, 0.127, 45.112, 63.300, 0.310, 0.010
			1, 0.127, 45.071, 63.400, 0.309, 0.010
			1, 0.127, 45.100, 63.500, 0.310, 0.010
			1, 0.127, 45.141, 63.600, 0.310, 0.010
			1, 0.127, 45.152, 63.700, 0.310, 0.010
			1, 0.127, 45.142, 63.800, 0.310, 0.010
			1, 0.127, 45.106, 63.900, 0.310, 0.010
			1, 0.126, 44.982, 64.000, 0.309, 0.010
			1, 0.124, 44.372, 64.100, 0.305, 0.010
			1, 0.119, 42.574, 64.200, 0.292, 0.009
			1, 0.115, 40.808, 64.300, 0.280, 0.009
			1, 0.110, 38.784, 64.400, 0.266, 0.009
			1, 0.106, 37.235, 64.500, 0.256, 0.008
			1, 0.102, 35.573, 64.600, 0.244, 0.008
			1, 0.098, 33.976, 64.700, 0.233, 0.008
			1, 0.094, 32.054, 64.800, 0.220, 0.007
			1, 0.089, 30.606, 64.900, 0.210, 0.007
			1, 0.085, 29.002, 65.000, 0.199, 0.007
			1, 0.081, 27.461, 65.100, 0.189, 0.006
			1, 0.077, 25.822, 65.200, 0.177, 0.006
			1, 0.073, 24.338, 65.300, 0.167, 0.006
			1, 0.069, 22.897, 65.400, 0.157, 0.005
			1, 0.065, 21.523, 65.500, 0.148, 0.005
			1, 0.060, 20.026, 65.600, 0.137, 0.005
			1, 0.056, 18.531, 65.700, 0.127, 0.004
			1, 0.052, 17.215, 65.800, 0.118, 0.004
			1, 0.048, 15.949, 65.900, 0.109, 0.004
			1, 0.044, 14.719, 66.000, 0.101, 0.003
			1, 0.039, 13.248, 66.100, 0.091, 0.003
			1, 0.035, 12.145, 66.200, 0.083, 0.003
			1, 0.032, 10.908, 66.300, 0.075, 0.002
			1, 0.027, 9.804, 66.400, 0.067, 0.002
			1, 0.023, 8.614, 66.500, 0.059, 0.002
			1, 0.019, 7.672, 66.600, 0.053, 0.001
			1, 0.015, 6.707, 66.700, 0.046, 0.001
			1, 0.010, 5.827, 66.800, 0.040, 0.001
			1, 0.006, 4.855, 66.900, 0.033, 0.000
			1, 0.002, 3.999, 67.000, 0.027, 0.000
			1, -0.000, 3.620, 67.060, 0.025, -0.000
			1, -0.001, 3.377, 67.100, 0.023, -0.000
		EndData
	EndSpecimen
	BeginSpecimen
		Endpoint1, 0.064,  "mm"
		Endpoint2, 0.000,  "mm"
		Comment, "",  ""
		TestSpeed, 5.1,  "mm/min"
		Thickness, 12.14,  "mm"
		Width, 12.32,  "mm"
		AdjGage, 25.917,  "mm"
		Area, 149.5648,  "mm^2"
		BreakCycle, ****,  ""
		Break, ****,  ""
		LoadAtBreak, ****,  "N"
		CycleStatus, "1 of 1 Cycle(s)",  ""
		GageAdjustment, 0.360,  "mm"
		LoadCellCapacity, 10000.000,  "N"
		PeakLoadForEntireTest, 85.971,  "N"
		PreConditioningGageAdjustment, ****,  "mm"
		PreLoadStatus, "PreLoad Section",  ""
		PreTestGageAdjustment, 0.360,  "mm"
		SlackVal, 0.360,  "mm"
		TestStatus, "1 of 1 Cycle(s)",  ""
		BeginData
			CycleChannel, SlackExt, _Load, _Time, Stress, Strain
			"", "mm", "N", "s", "MPa", "mm/mm"
			1, 0.004, 14.105, 0.140, 0.094, 0.000
			1, 0.012, 20.306, 0.300, 0.136, 0.000
			1, 0.021, 27.715, 0.400, 0.185, 0.001
			1, 0.030, 36.997, 0.500, 0.247, 0.001
			1, 0.038, 45.903, 0.600, 0.307, 0.001
			1, 0.047, 57.520, 0.700, 0.385, 0.002
			1, 0.055, 68.173, 0.800, 0.456, 0.002
			1, 0.064, 81.307, 0.900, 0.544, 0.002
			1, 0.065, 82.387, 0.910, 0.551, 0.003
			1, 0.067, 85.971, 1.400, 0.575, 0.003
			1, 0.067, 85.549, 1.800, 0.572, 0.003
			1, 0.067, 85.242, 2.200, 0.570, 0.003
			1, 0.067, 85.004, 2.600, 0.568, 0.003
			1, 0.067, 84.841, 3.000, 0.567, 0.003
			1, 0.067, 84.636, 3.400, 0.566, 0.003
			1, 0.067, 84.495, 3.800, 0.565, 0.003
			1, 0.067, 84.415, 4.200, 0.564, 0.003
			1, 0.067, 84.260, 4.600, 0.563, 0.003
			1, 0.067, 84.149, 5.000, 0.563, 0.003
			1, 0.067, 84.081, 5.400, 0.562, 0.003
			1, 0.067, 83.947, 5.800, 0.561, 0.003
			1, 0.067, 83.853, 6.200, 0.561, 0.003
			1, 0.067, 83.780, 6.600, 0.560, 0.003
			1, 0.067, 83.705, 7.000, 0.560, 0.003
			1, 0.067, 83.610, 7.400, 0.559, 0.003
			1, 0.067, 83.540, 7.800, 0.559, 0.003
			1, 0.067, 83.439, 8.200, 0.558, 0.003
			1, 0.067, 83.417, 8.600, 0.558, 0.003
			1, 0.067, 83.308, 9.000, 0.557, 0.003
			1, 0.067, 83.238, 9.400, 0.557, 0.003
			1, 0.067, 83.173, 9.800, 0.556, 0.003
			1, 0.067, 83.119, 10.200, 0.556, 0.003
			1, 0.067, 83.072, 10.600, 0.555, 0.003
			1, 0.067, 82.974, 11.000, 0.555, 0.003
			1, 0.067, 82.949, 11.400, 0.555, 0.003
			1, 0.067, 82.856, 11.800, 0.554, 0.003
			1, 0.067, 82.824, 12.200, 0.554, 0.003
			1, 0.067, 82.760, 12.600, 0.553, 0.003
			1, 0.067, 82.703, 13.000, 0.553, 0.003
			1, 0.067, 82.661, 13.400, 0.553, 0.003
			1, 0.067, 82.638, 13.800, 0.553, 0.003
			1, 0.067, 82.555, 14.200, 0.552, 0.003
			1, 0.067, 82.485, 14.600, 0.552, 0.003
			1, 0.067, 82.418, 15.000, 0.551, 0.003
			1, 0.067, 82.416, 15.400, 0.551, 0.003
			1, 0.067, 82.360, 15.800, 0.551, 0.003
			1, 0.067, 82.378, 16.200, 0.551, 0.003
			1, 0.067, 82.219, 16.600, 0.550, 0.003
			1, 0.067, 82.184, 17.000, 0.549, 0.003
			1, 0.067, 82.175, 17.400, 0.549, 0.003
			1, 0.067, 82.119, 17.800, 0.549, 0.003
			1, 0.067, 82.057, 18.200, 0.549, 0.003
			1, 0.067, 82.054, 18.600, 0.549, 0.003
			1, 0.067, 81.980, 19.000, 0.548, 0.003
			1, 0.067, 81.949, 19.400, 0.548, 0.003
			1, 0.067, 81.894, 19.800, 0.548, 0.003
			1, 0.067, 81.860, 20.200, 0.547, 0.003
			1, 0.067, 81.810, 20.600, 0.547, 0.003
			1, 0.067, 81.767, 21.000, 0.547, 0.003
			1, 0.067, 81.738, 21.400, 0.547, 0.003
			1, 0.067, 81.703, 21.800, 0.546, 0.003
			1, 0.067, 81.626, 22.200, 0.546, 0.003
			1, 0.067, 81.636, 22.600, 0.546, 0.003
			1, 0.067, 81.564, 23.000, 0.545, 0.003
			1, 0.067, 81.558, 23.400, 0.545, 0.003
			1, 0.067, 81.459, 23.800, 0.545, 0.003
			1, 0.067, 81.457, 24.200, 0.545, 0.003
			1, 0.067, 81.409, 24.600, 0.544, 0.003
			1, 0.067, 81.399, 25.000, 0.544, 0.003
			1, 0.067, 81.335, 25.400, 0.544, 0.003
			1, 0.067, 81.339, 25.800, 0.544, 0.003
			1, 0.067, 81.280, 26.200, 0.543, 0.003
			1, 0.067, 81.220, 26.600, 0.543, 0.003
			1, 0.067, 81.201, 27.000, 0.543, 0.003
			1, 0.067, 81.146, 27.400, 0.543, 0.003
			1, 0.067, 81.110, 27.800, 0.542, 0.003
			1, 0.067, 81.098, 28.200, 0.542, 0.003
			1, 0.067, 81.043, 28.600, 0.542, 0.003
			1, 0.067, 81.002, 29.000, 0.542, 0.003
			1, 0.067, 80.988, 29.400, 0.541, 0.003
			1, 0.067, 80.945, 29.800, 0.541, 0.003
			1, 0.067, 80.924, 30.200, 0.541, 0.003
			1, 0.067, 80.897, 30.600, 0.541, 0.003
			1, 0.067, 80.867, 31.000, 0.541, 0.003
			1, 0.067, 80.814, 31.400, 0.540, 0.003
			1, 0.067, 80.789, 31.800, 0.540, 0.003
			1, 0.067, 80.717, 32.200, 0.540, 0.003
			1, 0.067, 80.715, 32.600, 0.540, 0.003
			1, 0.067, 80.699, 33.000, 0.540, 0.003
			1, 0.067, 80.651, 33.400, 0.539, 0.003
			1, 0.067, 80.619, 33.800, 0.539, 0.003
			1, 0.067, 80.570, 34.200, 0.539, 0.003
			1, 0.067, 80.543, 34.600, 0.539, 0.003
			1, 0.067, 80.506, 35.000, 0.538, 0.003
			1, 0.067, 80.472, 35.400, 0.538, 0.003
			1, 0.067, 80.447, 35.800, 0.538, 0.003
			1, 0.067, 80.436, 36.200, 0.538, 0.003
			1, 0.067, 80.431, 36.600, 0.538, 0.003
			1, 0.067, 80.351, 37.000, 0.537, 0.003
			1, 0.067, 80.313, 37.400, 0.537, 0.003
			1, 0.067, 80.295, 37.800, 0.537, 0.003
			1, 0.067, 80.298, 38.200, 0.537, 0.003
			1, 0.067, 80.260, 38.600, 0.537, 0.003
			1, 0.067, 80.237, 39.000, 0.536, 0.003
			1, 0.067, 80.174, 39.400, 0.536, 0.003
			1, 0.067, 80.197, 39.800, 0.536, 0.003
			1, 0.067, 80.147, 40.200, 0.536, 0.003
			1, 0.067, 80.100, 40.600, 0.536, 0.003
			1, 0.067, 80.087, 41.000, 0.535, 0.003
			1, 0.067, 80.070, 41.400, 0.535, 0.003
			1, 0.067, 80.054, 41.800, 0.535, 0.003
			1, 0.067, 80.035, 42.200, 0.535, 0.003
			1, 0.067, 80.011, 42.600, 0.535, 0.003
			1, 0.067, 79.975, 43.000, 0.535, 0.003
			1, 0.067, 79.970, 43.400, 0.535, 0.003
			1, 0.067, 79.918, 43.800, 0.534, 0.003
			1, 0.067, 79.892, 44.200, 0.534, 0.003
			1, 0.067, 79.865, 44.600, 0.534, 0.003
			1, 0.067, 79.858, 45.000, 0.534, 0.003
			1, 0.067, 79.842, 45.400, 0.534, 0.003
			1, 0.067, 79.805, 45.800, 0.534, 0.003
			1, 0.067, 79.753, 46.200, 0.533, 0.003
			1, 0.067, 79.741, 46.600, 0.533, 0.003
			1, 0.067, 79.749, 47.000, 0.533, 0.003
